iter	Passed	Remaining
0	2	247
1	4	212
2	6	218
3	9	216
4	10	206
5	11	187
6	13	175
7	14	165
8	15	156
9	16	149
10	17	143
11	18	137
12	19	132
13	20	128
14	21	122
15	22	116
16	22	111
17	23	107
18	24	103
19	24	99
20	25	97
21	26	94
22	27	91
23	27	88
24	28	85
25	29	82
26	29	80
27	30	78
28	31	76
29	31	74
30	32	72
31	34	74
32	35	72
33	36	70
34	37	68
35	37	67
36	38	65
37	39	63
38	40	62
39	40	61
40	41	59
41	41	57
42	42	55
43	42	54
44	43	53
45	44	51
46	44	50
47	45	49
48	46	48
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	42
55	52	41
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	78	0
99	79	0
